Job Title,Company,Job Description,Location,Link
Data Analyst - Telematics (A-109700),RGF HR Agent Indonesia,"About The Company:The working venue is inSouth Jakarta.Our client is a Software company. Currently, they are looking forData Analyst.Job Responsibilities:Gather data from primary and secondary sources, ensuring the upkeep of databases and data systems.Detect, examine, and decode trends or patterns within intricate datasets.Cleanse data and scrutinize computer-generated reports and outputs to identify and rectify coding errors.Coordinate with management to align business and informational prioritiesIdentify opportunities for process enhancements.Employ statistical techniques to scrutinize data and produce actionable business insights.Collaborate with the management team to determine and rank the needs of different business units.Develop data dashboards, charts, and visual aids to support decision-making across departments.Convey insights through both reports and visual presentations.Partner with engineering and product development teams to understand business requirements.Engage with managers from various departments to specify data requirements for analysis projects tailored to their unique business processes.Other responsibilities as needed.Job Requirements:Bachelor's degree in Computer Science, Information Management, Statistics.Business English proficiency.Minimum 4 years as Data Analyst, in IoT or Telematics, has a solid foundation in statistics and practical experience wit statistical software (please mention the software).Maximum 40 years old.Exhibit exceptional analytical abilities to compile, structure, examine, and present substantial data sets with precision and thoroughness.Smart, able to work with less supervision, good work ethics, flexible.[Only CV in English will be processed]","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80296504?type=standard&ref=search-standalone
EDP,PT VOLANS (910 Nineten Sportswear),"Deskripsi Pekerjaan:Menganalisis data operasional dan memberikan insight yang mendukung pengambilan keputusan bisnis.Mengembangkan laporan berkala berbasis data sesuai kebutuhan perusahaan.Memastikan keakuratan data yang digunakan dalam sistem IT EDP.Berkolaborasi dengan tim IT untuk meningkatkan performa sistem dan integrasi data.Mengelola dan memvisualisasikan data untuk kebutuhan perusahaan.Kualifikasi:Pendidikan minimal S1 di bidang Teknik Informatika, Statistik, Matematika, atau jurusan terkait.wajib memiliki pengalaman minimal 2 tahun dan memahami system EDP (electronic data processing) dan ETL (extract, transform, load)Memiliki kemampuan analisis data yang kuat, termasuk menggunakan tools seperti SQL, Python, atau R.Mahir dalam menggunakan perangkat lunak visualisasi data (misalnya Tableau, Power BI, atau sejenisnya).Wajib Memahami sistem EDP (Electronic Data Processing)Teliti, mampu bekerja dalam tim, dan memiliki komunikasi yang baik","Legok, Banten",https://www.jobstreet.co.id/id/job/80551999?type=standard&ref=search-standalone
"Specialist, SAP Master Data Governance (MDG)",ASIA PULP AND PAPER,"We are looking for SAP Master Data Governance (MDG) Specialist to be part of our IT Front Office Automation Team.Job Requirements:Bachelor (S1) or Master (S2) degree in Computer Science, Information Technology, Information Systems, Engineering, or related fields, from reputable universityMinimum 2 years of SAP implementation or transformation experienceMinimum 3 year of SAP MDG experienceExperience in ABAP moduleOutstanding communication, inter-personal, consulting, research, and presentation skillsExcellent strategic thinking, analytical, problem solving and learning skillsFluent in English. Mandarin is a plus.Willing to work in Tangerang.","Tangerang, Banten",https://www.jobstreet.co.id/id/job/80489553?type=standard&ref=search-standalone
"Professor/ Lecturer in Data Engineering, Information & Communication Technology",Western Sydney University Indonesia,"Western Sydney University is a modern, forward-thinking, research-led university, located in the heart of Australia’s fastest-growing, economically significant region.  The University has 11 campuses in Sydney, and has launched it's first international campus in Surabaya, Indonesia. The University has more than 200,000 alumni, almost 50,000 students, and approximately 3,500 staff.Western Sydney University Indonesia (WSUI) is looking for passionate academics with expertise in Data Engineering and Information Communication Technology to lead and transform the education system for Indonesian students.We're looking for academics who can teach across undergraduate and postgraduate programs in Data Engineering/ Science.The purpose of this position is:Provide senior leadership in Data Engineering or ICT across research, teaching, and curriculum development.Lead and contribute to the development, implementation, and teaching of Data Engineering or ICT subjects.Conduct research in the field of Data Engineering or ICT and supervise master's and PhD students.Drive innovation and thought leadership in Data Engineering or ICT research and education.Collaborate with various units within Western Sydney University to enhance research and educational initiatives.Foster external relationships, including partnerships with industry and sector organizations, to support program initiatives.Qualifications:PhD or equivalent in Data Engineering, ICT or related area, with membership in an internationally recognized professional body.Extensive experience in innovative tertiary teaching, curriculum development, and modern learning methods, including blended and e-learning.Proven ability to lead research initiatives, secure competitive funding, and produce high-quality publications with international recognition.Demonstrated success in building industry partnerships, leading research teams, and driving strategic planning.If you are ready to inspire the next generation of leaders and be part of a team dedicated to world-class teaching and impactful research, we want to meet you!","Surabaya, Jawa Timur",https://www.jobstreet.co.id/id/job/80782960?type=standard&ref=search-standalone
Parts Analyst,PT Probesco Disatama,"Job Description :Interpret data, analyze results using statistical techniques and provide ongoing reportsExecute and delivering data quality analysis report and trend analysis reportCreate research plan; define research objective by consulting with user (Business Unit), sampling method, and respondent criteria based on target marketMonitor and report on project progressHandling spare part complain from customerMaintain good relationship with customers, partners , co-workerRequirements :Maximum age 35 years oldFamiliar with Ms. OfficeAt least a Bachelor's Degree in Information System, Information Technology, Industrial Engineering, Mathematics, Statistic or equivalentMinimum 3 years experience in the same positionExcellent written and verbal English skillsProblem-solving and organizational skillsStrong analytical, logical thinking, and planningAble to work as a team or independentWorks well under pressure","Jakarta Pusat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80412455?type=standard&ref=search-standalone
Business Analyst Supervisor,OLX Indonesia,"Job Description :Create business impact by working on strategic initiatives in automotive cars on analysis and experimentationDevelop in-depth analytical (user) understanding for what drives growth for the product and analyze diverse and dynamic data sets to derive valuable insights related to user behaviors to address complex challenges and better understand the businessDesign, build, and disseminate dashboards or other self-served data products to enable stakeholders get quick business performance to track user engagement , conduct data exploration, or derive quick insightsTrack and measure the impact of implemented initiatives, providing regular updates on the effectiveness and outcomes of data-driven strategiesDesign, analyze, and disseminate experiments or causal-impact studies to test multiple hypotheses, variants, or initiatives and infer the best result(s) based on relevant success metrics.Partner with cross-functional teams to define success metrics, create approaches to track the data, quantify and evaluate the dataRequirements :3+ years of Data analytics experience with big data exposure and SQL and 1 year experience in supervisor rolePassionate in data, analysis, or insights with high curiosity and skepticismYou have to be curious and hungry to learn, as well as excited to share knowledge with other team memberComfortable working with open-ended questions and potentially ambiguous problem statementsExperience in collaborating with people outside your domain to deliver impactExperience in conducting experimentation is a plusExperience using one or more Python and/or R programming languages is a plusExpert in SQL , data visualization and dashboardingExposure to visualization and dashboarding tools like Tableau, Metabase, Google Data Studio, Clevertap, Python, etc is a plusStrong in data manipulation and inferential statisticsExisting business domain knowledge in customer behavior is preferred but not required","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80291775?type=standout&ref=search-standalone
Data Migration Specialist,PT Bumi Amartha Teknologi Mandiri,"Role Descriptions:Oversee and manage the overall work plan for the data migration workstream.Provide direction and guidance to all team members involved in the migration process.Perform data migration planning and ensure alignment with the overall project timeline.Monitor and ensure that project milestones and deadlines are consistently met.Act as the primary point of contact between stakeholders and the migration team.Coordinate migration activities across business units, IT teams, and vendor teams.Serve as the escalation point for any issues or risks related to the data migration process.Manage and mitigate risks, and resolve issues that may arise during the migration process.QualificationsBachelor’s degree in Computer Science, Information Technology, or related field.Proven strong project management skills with experience in leading large-scale data migration projects.Technical knowledge of data migration tools, processes, and methodologies.Familiarity with T24 core banking system.Experience in managing stakeholder relationships and communications across various business units.Willing to work in banking industry.Strong leadership skills, with the ability to manage and guide cross-functional teams.Excellent communication skills, both written and verbal, with the ability to clearly articulate complex concepts.","Jakarta Pusat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80295926?type=standard&ref=search-standalone
Consultant - Artificial Intelligence & Data - ID,Deloitte,"Are you ready to unleash your potential?At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.Ready to unleash your potential with us? Join the winning team now!Work you will doThis role sits within the Artificial Intelligence & Data team of Deloitte Southeast Asia, which encompasses data, analytics and cognitive automation (CA). As a leader of this group, you will drive the growth of our CA business in the region and be responsible for the creation, sale and delivery of CA solutions: robotic process automation, intelligent character recognition, chatbots/virtual assistants and artificial intelligence.The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.Apply emerging technologies to help our clients maximize the value of their data by generating actionable insights that provide real business outcomes.Designing and implementing data structures to support Big Data, Analytical models and traditional BI/DW reporting solutions using technologies such as Microsoft SQL, Oracle, SAP, Cloudera, IBM Watsons, MuleSoft, Qlik Technologies or Informatica.Designing and developing data integration using Data Governance, Data Quality, MDM and Metadata management.Applying analytical models to predict business outcomes with tools such as DataRobot and languages like Python or R.You will be part of a collaborative team that provides our clients with solutions that are practical as well as visionary and have an impact from the back office to the boardroom.Demonstrated experience across a broad range of industries such as Energy and Resources, Public Sector, Financial Services, Life Sciences and Health Care, Consumer Business, Manufacturing, Telecommunications or Consumer Business.Ability to link industry specific business requirements to BI, Analytics and Big Data solutions.Ability to recommend BI/DW/Analytics processes, governance, organisational and platform models, tool selections, and data integration options to clients.Project experience through all phases of the project lifecycle from strategy and advisory, scoping and planning, requirements gathering, design, development, testing, training and deployment.Your role as a leaderAt Deloitte, we believe in the importance of empowering our people to be leaders at all levels. We connect our purpose and shared values to identify issues as well as to make an impact that matters to our clients, people and the communities. Additionally, Senior Consultant across our Firm are expected to:Demonstrate a strong commitment to personal learning and development.Understand how our daily work contributes to the priorities of the team and business.Understand the set expectations and demonstrate accountability in keeping personal performance on track.Actively focus on developing effective communications and relationship-building skills with stakeholders, clients and team.Demonstrate an appreciation for working with others.Understand what is fundamental to Deloitte’s success as a business.Demonstrate integrity and an awareness of strengths, differences, and personal impact.Develop their understanding of Deloitte and offer a fresh perspective.What we are looking forIf you are someone with:A good honors Degree, preferably at postgraduate level, in Computer Science, Software Engineering, Statistics, Mathematics or related disciplines.Experience in Big 4 or MNC Consulting firm or industry equivalent role.Minimum 4 years (Consultant) or 6 years (Senior Consultant) of relevant experience.Strong experience in one or more of the following programming languages: Scala, Python, or R.Experience with one or more non-relational data stores such as Pivotal, Cloudera, Hortonworks, MapR, Oracle BDA.Experience with one or more relational data stores using SQL, Oracle DB, Microsoft SQL Server, IBM Netezza, Teradata or MySQL.Experience building data ingestion and transformation pipelines using Big Data technologies, including one or more of the following: Spark, Hive, Pig, Kafka, MapReduce, HBase, Sqoop, Flume or Storm.Experience in cloud Data EngineeringExperience working with Agile software engineering tools and applying Agile methodologies in a pragmatic manner.Experience working with Source Control Management tools such as Git, Subversion or Mercurial.General knowledge of Linux/Unix based operating systems and Shell scripting.Experience directly interfacing with business and IT stakeholders for clients.Excellent problem solving skills, ability to think out-of-the-box, work under pressure and tight project timelines.Drive, tenacity, client focused and results oriented.Excellent communication and presentation skills in English.In addition to strong client service orientation, we are also seeking talented leaders who have the capability to deliver quality solutions with superior analytical and problem solving skills. Besides excellent interpersonal and communication skills, candidates should have proven demonstration of sound business acumen, teamwork and leadership qualities. An appreciation of the consulting lifestyle and ability to travel is a pre-requisite.Due to volume of applications, we regret that only shortlisted candidates will be notified.Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.#LI-VS",Jakarta Raya,https://www.jobstreet.co.id/id/job/78596624?type=standard&ref=search-standalone
Business Analyst Supervisor - FMCG Company,Pengiklan Anonim,"Deskripsi Pekerjaan:Mengolah data dan menyajikan laporan untuk management & userMenganalisis dan menafsirkan kumpulan data yang berkaitan dengan bisnis perusahaanMenganalisa data untuk pendukung pengambilan keputusanBerkoordinasi dengan divisi lain untuk menghasilkan laporan yang dibutuhkanMembantu menerjemahkan data ke dalam visualisasi, metrik, dan tujuanKualifikasi:Pendidikan minimalS1 Jurusan Statistik/ Matematika (IPK minimal 3.00)Berpengalaman bekerja minimal 5 tahun sebagai Bisnis Analis SPV (Perusahaan FMCG)Mengoperasikan Microsoft ExcelKemampuan riset dan analisa yang tajamTeliti, cekatan, jujur, dan pekerja kerasBerpikir kritis saat memecahkan berbagai solusi dari permasalahan yang adaBerpikir logis dengan memanfaatkan berbagai metode","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80253535?type=standard&ref=search-standalone
Business Development - Data Analyst,PT Delonix Group Indonesia,"Established in Jakarta in 2023, PT Delonix Group Indonesia is a subsidiary company of Delonix Group - China. Delonix Group is a global investment and tourism group, which its core business mainly focuses on offline consumer sectors such as hotels, restaurants, and airport lounges. The group's investment portfolio includes over 1,300 managed and contracted hotels, spread across major tourist and business centers worldwide, with a total of over 195,000 rooms.Job Descriptions :Collect, interpret, and analyze data related to investor prospects and property trends, utilizing statistical techniques and tools to derive meaningful insights.Conduct in-depth market research to identify potential investors and analyze competitor activities.Prepare comprehensive reports and presentations based on findings develop visualizations, charts, and graphs to present data insights effectively, and communicate findings to stakeholders clearly and concisely.Assist in developing forecasting models and scenario analyses to support BD strategies, and evaluate project feasibility and investment opportunities based on data analysis.Maintain and update databases with accurate and relevant information related to investor contacts, property portfolios, and market trends.Work closely with the Business Development team to provide data-driven recommendations and support decision-making processes.Collaborate with other departments as needed to align data analysis efforts.Stay updated with industry trends, data analysis techniques, and best practices. Recommend improvements to data collection and analysis processes.Requirements :Bachelor’s degree in Data Science, Statistics, Economics, Business Administration, or related field.Proven experience as a data analyst or similar role, preferably in business development or real estate.Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint), Tableau, Power BI and Asana Project management software.Excellent analytical and problem-solving skills, with the ability to translate complex data into actionable insights.Solid understanding of financial modeling, market research methodologies, and database management.Ability to work independently and collaboratively in a team-oriented environment.Effective communication skills, including the ability to present findings clearly and concisely.Attention to detail and accuracy in data analysis and reporting.Proactive mindset with a commitment to continuous learning and professional development.Ability to manage multiple priorities and deadlines effectively.Experience in real estate or investment analysis is a plus.","Jakarta Utara, Jakarta Raya",https://www.jobstreet.co.id/id/job/80409457?type=standout&ref=search-standalone
Data Analitics,PT Kinarya Alihdaya Mandiri,"Requirement :Pendidikan Minimal S1 Teknik Informatika/Sistem Informasi/Teknik Telekomunikasi/Manajemen Informatika/Statistika/MatematikaMemahami pemrograman Python, Shell Script dan SQL, Query Database dan Scipting UnixMemiliki Pengalaman kerja minimal 1 Tahun dibidang Data AnaliticsLebih disukai Memahami Aplikasi Pentaho / Tableau dan HADOOPDapat bekerja dalam team, KomunikatifDapat menangani tugas secara bersamaan (multitasking) dan Fast learnerMenguasai MS Office dengan baikBersedia berkerja overtimeResponsibilities :Membuat reporting daily, weekly & monthlyMengerjakan hal yang berhungan dengan SQL DatabasePengolahan data menggunakan SQL, Data Entry (Excel)Bertanggungjawab dalam menggabunkan databasePengolahan BigdataMelakukan analisa laporan & Membuat Script SQL","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80323004?type=standard&ref=search-standalone
Geospatial Analyst,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),"About the RoleAs a Geospatial Analyst in Cartography’s team, you will be involved in working tooptimize the routing platformthat powers many of Gojek services (across marketplace, food or logistics). Some areas include building data products, experimentation design/analysis, performing literature surveys, building/ maintaining production grade data pipelines and working closely with the data, product & engineering team to solve challenging geospatial problems.What You Will DoDesign and analyze experimentsDeep-dive into analysis (especially geospatial data) to support engineering & business decisionsPerform exploratory data analysis using tools including but not limited to SQL/R/Python and present insights to business stakeholders to drive strategic decisionsBuild self-serve data products such as dashboards and tables to reduce time to insightsDevelop theoretical models to better understand our customers’ use-cases and needsWork with Data Scientists, Product Engineers and Product Managers to build, deploy, and scale data science solutions for routing systems and geospatial data.What You Will Need2-3+ years of experience in geospatial related fields (GIS, Mapping, Geospatial, Openstreetmap, POI Data, etc.)Bachelor’s/Master’s degree in a quantitative discipline including but not restricted to Statistics/ Econometrics / Mathematics / Physics / Computer Science / GeoinformaticsProficiency in a programming language (either R, Python, including classical ML / Statistical libraries) and familiarity with SQLPrior experience with applied statistics, experimental designAble to tell a coherent data narrative using best practices in data visualization to convey a product insight through impactful chartsProven ability to recognize business needs and ability to communicate with multiple stakeholders including PMs, business and operationsUnderstand classical machine learning algorithms under the hood (e.g supervised learning & unsupervised learning)About the TeamAt the heart of Gojek’s businesses, we move things around. Whether that’s people, food, packages, or fresh groceries moving things around boils down to understanding the best route, understanding traffic, and understanding locations. The Cartography team is a platform team that surfaces mapping technologies needed by all internal product teams and business units within Gojek.As Chicken Rice is to the people of Singapore, the Data team is to Cartography: providing the nourishment and power to sustain our business from the inside out. Our main responsibility is to build data products for ETA prediction, mapping errors detection, map-matching, location search and ranking, and reverse geocoding. We maintain sophisticated data & machine learning systems that powers internal products by striving to provide accurate map signals that are as close to reality as possible.While our team is based all over the region, we are a tight-knit group that is bonded by two things: how to grow our maps using strong machine learning, engineering automation, and strong operations and emphasize professional development around these areas 🙌. For real - our weekly conversations range from well, mapping and navigation to competing in friendly online gaming. But whether you like to play online games or you share our love for an afternoon tea/coffee break like us, we’d be stoked to have you join the fam!",Jakarta Raya,https://www.jobstreet.co.id/id/job/80525596?type=standard&ref=search-standalone
IT Audit Data Analytic,PT Bank Multiarta Sentosa,"Responsibilities =- Coordinate with business owners, data owners, application owners, and relevant IT departments in the data acquisition process and data download to fulfill data requests for audit execution.- Perform data cleansing on the data obtained from the new data acquisition process by analyzing its quality.- Conduct continuous auditing through periodic data analysis.- Create analytics reports processed using audit tools for internal auditor needs.- Manage the internal audit database in the data warehouse.- Develop data analytics reports processed using audit tools.- Develop data anomaly-based audit automation using audit tools across the entire data population.- Conduct Offsite Audits and/or Desktop Audits in accordance with the audit program and data exceptions report generated, and evaluate the evidence obtained to draw conclusions on the audit results.Requirements =1. Minimum education of a Bachelor’s degree in Information Systems / Information Technology or a related field.2. Experience working in a banking/financial technology/digital product business environment.3. Technical skills in using SQL, Python, and Business Intelligence Tools (such as Tableau, PowerBI, Data Studio, Amazon Redshift, etc.).4. Experience in data modeling, data visualization, data manipulation, and predictive analytics.5. Strong analytical and statistical skills with the ability to interpret complex data.6. Good communication skills and ability to work both independently and in a team.7. Detail-oriented, disciplined, and highly integrative.","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80185759?type=standard&ref=search-standalone
Senior Website Product Data Specialist,SCHNAP Electric Products,"Senior Website Product Data SpecialistSCHNAP, a leading electrical wholesaler in Australia, is seeking a highly experienced Senior Website Product Data Specialist to join our teamKey Responsibilities:Manage and upload 500K electrical products to our CS Cart e-commerce platformIdentify and assign precise filter attributes for over 500K productsMaintain and optimize large-scale Excel sheets containing product and pricing dataConduct efficient web scraping to extract data and images from supplier websitesRequired Skills and Experience:Minimum 10 years of experiencein managing large-scale e-commerce product databasesProven expertise in data entry, Excel management, and web scraping techniquesDemonstrated ability to handle databases exceeding 200,000 productsFluency in EnglishMeticulous attention to detailProficiency in developing and implementing data management automationsNote:Candidates must be prepared to demonstrate their automation skills during the interview process.Employment Terms:Full-time freelance positionRemote work arrangementWorking hours: 7 AM to 4 PM Jakarta local timeAvailability for Zoom meetings during working hoursLong-term commitment requiredNon-disclosure agreement to be signedAbout SCHNAP:For nearly two decades, SCHNAP has been a trusted source for premium electrical wholesale products across Australia. Our extensive selection of top-brand products, meticulously tailored to meet Australian industry standards, has earned us a stellar reputation among electricians, procurement managers, architects, and project managers both nationally and internationally.Qualified candidates who meet all the specified requirements are invited to submit their applications. Please include a detailed resume highlighting your relevant experience and technical skills",Jakarta Raya,https://www.jobstreet.co.id/id/job/80260473?type=standard&ref=search-standalone
Analyst / Senior Analyst,PT Rancangsemesta Transportindo,"1. Planning: melakukan planning perawatan unit secara harian, mingguan, bulanan2. Monitoring: monitoring apakah planning pekerjaan tercapai dan performa team sesuai dengan target yang diberikan3. Monitoring: monitoring service level team Maintenance kepada user, apakah proses perbaikan sudah sesuai dengan SLA dan hasil sesuai dengan yang diharapkan4. Analisa: terbiasa melakukan analisa big data untuk membuat reporting,  dashboard, dan improvement proposal atas alur kerja team perawatan5. Reporting: mampu membuat reporting dan melakukan presentasi kepada Direksi","Tangerang, Banten",https://www.jobstreet.co.id/id/job/80397750?type=standout&ref=search-standalone
IT Intern,IDS Medical Systems Group,"We’re Hiring IT Interns!Looking to kick-start your career in IT? Join us as an intern and gain valuable hands-on experience! We are hiring for3 exciting roles:Data Specialist InternWork with ETL/ELT processes (data extraction, transformation, and loading).Proficiency in MSSQL query language for creating, managing, and optimizing databases and queries.Solid understanding and experience in Python programmingFinal-year students or recent graduates in Computer Science, Data Science, IT, or related fieldsDIT Business Applications InternUnderstand IT workflows and business application processes.Experience with SQL scripting is a plus.Final-year students or recent graduates majoring in Information Systems.Fluent in English (spoken and written).Application Support InternBasic knowledge of Microsoft Dynamics 365 (D365) or similar applications.Familiarity with SIT/UAT testing and related documentation.Experience with SharePoint and file management.Exposure to bug fixing or handling change requests (CR) in applications is a plus.Final-year students or recent graduates in Computer Science, Information Systems, IT, or related fields","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80697652?type=standout&ref=search-standalone
Senior Front-End Web Developer,VILLA FINDER,"About Villa FinderVilla Finder, founded in 2012 in Singapore, is all about creating amazing holiday experiences in beautiful villas across 10 destinations. Our team of 61 people from 8 countries shares a passion for great villas, delicious food, and making travel more sustainable. We're not just about luxury—our mission is to ensure every guest has a stress-free, unforgettable stay. We are passionate about curating the perfect, stress-free stay and a memorable holiday experience for all our guests.Position: Senior Front-End Web DeveloperWe’re looking for a skilled and experiencedSenior Front-End Web Developerto join our team. If you thrive on crafting seamless user experiences, optimizing web performance, and contributing to innovative projects, we’d love to hear from you.ResponsibilitiesThink strategically:Develop solutions with scalability, performance, and user experience in mind.Own projects:Take over existing front-end projects and guide them to the next level.Build from the ground up:Design and implement new products, from concept to deployment.Full-stack contribution:Collaborate across the stack to deliver cohesive and impactful results.What You’ll BringWe value expertise across the following technologies and practices:Front-End Mastery:Proficiency inVanilla CSSor pre-processors likeSASS. Bonus for experience with frameworks such asTailwind,Bulma, orBootstrap.Strong knowledge ofJavaScript, with a focus onVue.jsAdherence toJavaScript best practicesfor clean, efficient, and maintainable code.Experience with modern module bundlers likeWebpackorVite.Performance Optimization:Deep understanding ofGoogle PageSpeed Insightsand tools to improve web performance.Techniques such aslazy loading,code splitting, and advanced JavaScript loading optimizations.Backend Collaboration:Experience withPHP frameworkssuch asSymfony,Laravel, orZend.Technical Foundations:Basic knowledge of theUnix CLI.Strong understanding ofComputer Science fundamentals(algorithms, data structures, networking).Bonus Skills:Experience withweb designand tools like Figma or Sketch.Knowledge ofTwig,CI/CD pipelines, orAWS cloud services.What We Offer:Check out @villafinderteam or #villafinderlife on Instagram for the behind-the-scenesVilla stays! Yup, you get to experience staying in our cool villas and can post selfies to make your friends jealous...Attractive salary + bonus + profit sharing schemeAdditional leave days including 1 day off on your birthday, 2 days for charity volunteering, and whenever a public holiday falls on a weekendGreat career development opportunities in a growing company: 67% of our managers were promoted internallyIn the past 12 months, our team has traveled to Thailand (x3), Japan (x2), Spain (x2), Mauritius, Sri Lanka, and Italy. Do you want to join?Short video about us: https://www.youtube.com/watch?v=E8vshtpjOSYInterested candidates are invited to send their resume, and a cover letter explaining their motivation and relevant experience for the role, to[email protected]with the subject line ""Senior Front-End Web Developer - [Your Name]"".Please remove information related to your age, ethnicity, religion, height, or weight from your resume.Villa Finder is an equal opportunity employer committed to fostering a diverse and inclusive workplace where all candidates are considered based on their qualifications and abilities, free from discrimination or bias from gender, race, color, disability, political opinion, sexual orientation, age and religion.",Bali,https://www.jobstreet.co.id/id/job/80614118?type=standout&ref=search-standalone
IT MIS Staff,PT Asuransi Jiwa Central Asia Raya (CAR),"Kualifikasi :Minimal S1 Tekik Informatika/Sistem Informasi/Data scienceLulusan Baru atau semester AKhir dipersilahkan melamarMenguasai SQL server, PostgreeSQLMenguasai PhytonMemahami Konsep Business Inteligence (BI) dan Data ScienceMempunyai kemampuan analisa yang bagusMenguasai Etl Tools : SSIS, PentahoDapat bekerja dibawah Tekanan dan mudah beradaptasi dengan lingkungan kerja yang dinamisMemiliki motivasi yang tinggi dan cepat belajarDapat bekerja secara Individu dan kelompokMempunyai komunikasi yang baikMenguasai SSRS","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80521230?type=standout&ref=search-standalone
IT Trainer,PT Inixindo Widya Iswara Nusantara,"Tanggung JawabMelakukan proses pembelajaran, pengembangan bahan ajar, penyusunan soal, mengevaluasi peserta pelatihan, dan mampu mengembangkan potensi diri dalam lingkup edukasi.Supporting tim pengembangan metodologi pengajaran dan menjadi tenaga ahli proyek konsultan.Persyaratan:Pendidikan minimal S1Usia maksimal 27 tahunKemampuan umum (Softskill) yang harus dimiliki:Memiliki pengalaman menjadi Narasumber, Instruktur, Asesor, Dosen atau tenaga pengajar sejenisnya.Public SpeakingIce BreakingBody LanguageBersemangat/ Passion mempelajari hal baruKemampuan khusus (Hardskill) yang harus dimiliki:Bidang Infrastruktur:NetworkingServersVirtualizationStorageFamiliar dengan brand teknologi terkait Infrastruktur2. Bidang Data Science:Fundamental Data Science dan Data AnalyticsFundamental Machine Learning / Deep LearningTertarik dengan Artificial Intelligence ImplementationMemiliki dasar Statistika yang kuatPython ProgrammingLampiran Lainnya:PortofolioSertifikasiAktifitas berkomunitas saat ini yang aktifNote:Mohon mencantumkan nomor Whatsapp dengan benarProses interview dan tes praktikal di YogyakartaPenempatan kerja di Yogyakarta","Yogyakarta, DI Yogyakarta",https://www.jobstreet.co.id/id/job/80569228?type=standout&ref=search-standalone
Management Trainee Analyst Corporate Pekanbaru,"PT. BFI FINANCE INDONESIA, Tbk","Melakukan analisa terkait kelayakan pengajuan kredit calon konsumen untuk produk Corporate (HETO dan Machinery).Memberikan data-data terkait kondisi bisnis cabang.Memberikan masukan dan pertimbangan terkait bisnis di cabang.Laki-laki / Perempuan dengan usia maks. 27 tahunPendidikan min. S1 dengan IPK min. 3,00 Semua Jurusan (Diutamakan Jurusan Akuntansi).Berpengalaman / Lulusan baruTeliti dan memiliki jiwa kepemimpinanBersedia ikatan dinas selama 2 tahun","Pekanbaru, Riau",https://www.jobstreet.co.id/id/job/80372761?type=standard&ref=search-standalone
Software Engineer (Python),PT Tibeka Logistik Indonesia,"Requirement:Minimum bachelor's degree in Computer Science, Computer Engineering, or related field.Minimum 3 years of experience in Back-End Engineer or similar position.Fluent in Bahasa & English written and spoken.Strong OOP understandingStrong data structures and computer science fundamentalsExperienced in usingpython and reactExperienced in designing and implementing efficient reactive-based website front-end and database structure for web serverResponsibilities:Develop clean and stress-proof web server application.Research, analyze, test, benchmark, and evaluate new technology.Collaboration as part of team to make application to be released on time.Maintain existing server application.Write high-quality, clean, maintainable code using engineering best practices (unit testing, source control, continuous integration, automation, design patterns, etc.).Write, manage, and update documentation related with developmentWork closely with Engineering Manager, Product Manager, Designer, Engineer, and QA teams to build, test, and deploy products.Understand project requirements, define test cases for development, and follow software development workflow.Write, manage, and update development progress in existing Project Management Tools.Understand the business and the product, constantly optimize the product, identify and fix problems, and improve stability and user experience.Optimize application for maximum performance and scalability.","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80513832?type=standard&ref=search-standalone
